,magnitude,people
0,-33.0,6
1,-94.0,6
2,33.0,6
3,-56.5,7
4,-23.5,8
5,-63.0,7
6,-35.0,5
7,-58.5,7
8,-116.0,5
9,-47.0,5
10,-44.0,5
11,-101.0,5
12,-86.5,5
13,-34.0,5
14,-28.5,5
15,-97.0,5
16,24.5,5
17,-54.5,5
18,-31.0,6
19,-77.5,5
20,21.0,7
21,-43.0,5
22,-64.5,4
23,-48.5,2
24,-75.0,5
25,-82.5,4
26,-34.5,7
27,-22.5,7
28,-42.5,6
29,3.0,6
30,-110.5,6
31,-81.0,6
32,-7.5,7
33,-89.0,6
34,-94.5,7
35,-14.5,6
36,4.0,7
37,-74.0,8
38,42.5,7
39,-108.5,7
40,-21.5,7
41,-25.5,7
42,-26.0,6
43,-66.5,6
44,41.0,6
45,-127.5,7
46,-48.0,6
47,-78.5,6
48,-85.0,6
49,-59.0,7
50,-68.0,7
51,-48.0,6
52,46.5,8
53,-45.0,6
54,-10.5,8
55,-86.0,8
56,-23.0,7
57,-2.5,7
58,-24.5,4
59,-60.5,6
60,-101.0,7
61,-36.0,5
62,-51.0,4
63,-98.0,5
64,-40.0,6
65,-53.5,6
66,-61.0,6
67,-62.5,3
68,-74.5,6
69,-96.5,6
70,-25.0,5
71,-81.5,7
72,-27.0,7
73,-76.0,7
74,-36.0,6
75,30.0,4
76,-68.5,5
77,-24.0,6
78,-15.5,5
79,-26.5,6
80,-98.5,4
81,-18.0,5
82,-55.5,6
83,-53.5,4
84,-84.0,4
85,-73.5,5
86,36.0,3
87,6.0,4
88,-62.0,4
89,-62.5,5
90,-73.0,6
91,17.0,5
92,-123.0,5
93,-43.5,6
94,-33.5,5
95,-67.5,5
96,5.5,5
97,-16.0,5
98,-66.5,5
99,-36.5,6
100,-35.5,6
101,-49.0,5
102,5.5,5
103,-63.5,5
104,-45.5,4
105,-74.0,5
106,-54.5,5
107,-24.0,6
108,-95.5,5
109,-55.5,5
110,-87.5,4
111,-33.0,4
112,-57.5,4
113,-62.5,4
114,-32.5,5
115,-43.5,4
116,-45.0,5
117,8.0,5
118,-52.5,5
119,-96.0,5
120,-51.5,5
121,-55.0,4
122,-38.5,5
123,-62.0,5
124,-16.0,5
125,-178.5,5
126,-41.0,5
127,9.5,5
128,-85.0,5
129,-45.5,4
130,-9.0,4
131,19.5,4
132,-30.5,4
133,-72.0,4
134,-15.5,4
135,-53.5,4
136,-78.0,4
137,-98.5,3
138,-57.0,5
139,-55.0,5
140,-69.0,4
141,2.0,4
142,-99.5,5
143,-58.0,5
144,0.0,5
145,-1.5,5
146,8.0,5
147,-80.0,5
148,-38.5,5
149,-83.0,5
150,-55.0,6
151,-65.5,6
152,-29.5,5
153,-78.0,6
154,-1.0,6
155,-25.0,6
156,-27.5,5
157,-112.0,5
158,-74.5,5
159,-84.0,5
160,-52.0,5
161,-86.5,5
162,21.0,6
163,-25.0,5
164,-35.0,5
165,-61.5,5
166,-66.5,5
167,-67.5,6
168,-86.5,6
169,9.5,6
170,18.5,7
171,-3.5,5
172,-44.5,6
173,-42.0,7
174,-63.5,6
175,4.0,5
176,-47.0,5
177,-73.5,5
178,-22.5,7
179,11.5,4
180,-20.0,4
181,-61.5,4
182,-51.5,4
183,-17.0,4
184,-37.5,4
185,-2.0,4
186,-74.0,4
187,-70.0,4
188,-109.5,4
189,-76.5,4
190,-47.5,4
191,-37.0,4
192,-76.5,4
193,-50.0,4
194,-50.0,4
195,-53.5,4
196,-56.0,4
197,-75.0,4
198,-51.5,4
199,-47.0,4
200,-86.5,4
201,-64.0,4
202,-30.0,4
203,23.0,5
204,-31.0,4
205,-70.5,4
206,-36.0,4
207,-25.0,4
208,-77.5,4
209,8.0,4
210,62.0,6
211,-25.0,4
212,-77.0,6
213,-53.0,4
214,7.0,4
215,-19.5,4
216,13.0,4
217,-135.0,4
218,-31.0,4
219,-118.0,4
220,-75.0,4
221,-40.0,4
222,-18.0,4
223,-37.5,4
224,6.0,4
225,-74.5,4
226,-79.0,4
227,-7.0,4
228,-75.0,4
229,-22.5,4
230,-58.0,4
231,-95.0,5
232,-28.5,4
233,-25.0,5
234,-20.5,5
235,-102.5,5
236,-55.5,5
237,-56.5,5
238,-21.0,5
239,-73.0,5
240,4.0,7
241,-87.5,7
242,-67.0,4
243,-77.0,6
244,13.5,5
245,-48.0,5
246,-29.5,5
247,-84.5,5
248,-30.0,5
249,-31.0,5
250,-66.5,4
251,-42.0,5
252,19.0,4
253,-44.5,4
254,-96.0,4
255,-53.5,4
256,-51.5,4
257,-43.0,4
258,-54.0,4
259,3.5,4
260,-84.5,4
261,-18.5,4
262,-82.0,4
263,-31.0,4
264,-33.0,4
265,-81.0,4
266,-97.0,5
267,-56.5,4
268,-99.0,5
269,-11.5,4
270,-61.0,4
271,-48.0,4
272,20.5,4
273,12.5,4
274,24.5,4
275,-23.0,5
276,-62.0,4
277,-84.0,5
278,-41.5,6
279,-19.5,6
280,-58.5,5
281,-17.5,6
282,-37.0,5
283,-90.5,5
284,-41.0,5
285,-34.5,5
286,-99.0,6
287,-127.0,5
288,-70.5,6
289,-86.5,5
290,-122.0,5
291,-46.0,5
292,-47.0,5
293,-53.5,5
294,-64.0,6
295,4.0,6
296,-28.0,5
297,-7.5,5
298,-61.0,5
299,-42.0,5
300,-20.5,5
301,-35.0,6
302,-88.0,5
303,-24.0,5
304,-46.5,6
305,-49.0,5
306,-60.5,5
307,-47.0,5
308,-15.5,5
309,-23.0,6
310,-48.5,5
311,-23.5,6
312,-27.0,5
313,-32.5,5
314,-55.5,5
315,-38.5,5
316,-74.0,5
317,-77.5,5
318,9.5,5
319,-42.5,5
320,-86.5,5
321,-64.0,5
322,-57.0,5
323,-15.5,5
324,-72.5,5
325,-8.5,5
326,-71.5,5
327,-48.0,5
328,-54.5,7
329,-68.0,6
330,-56.5,6
